"text","sentiment","language"
"कीमत ज्यादा है","negative","hindi"
"कीमत ज्यादा है","negative","hindi"
"कीमत परवडणारी आहे","positive","marathi"
"बिल्ड क्वालिटी कमी आहे","negative","marathi"
"बॅटरी लवकर संपते","negative","marathi"
"बिल्ड क्वालिटी कमी आहे","negative","marathi"
"परफॉर्मेंस स्मूद और तेज़ है","positive","hindi"
"बैटरी जल्दी खत्म हो जाती है","negative","hindi"
"बिल्ड क्वालिटी कमजोर है","negative","hindi"
"कीमत जास्त आहे","negative","marathi"
"परफॉर्मन्स उत्कृष्ट आहे","positive","marathi"
"परफॉर्मन्स उत्कृष्ट आहे","positive","marathi"
"बॅटरी चांगली आहे","positive","marathi"
"कीमत ज्यादा है","negative","hindi"
"बैटरी लंबे समय तक चलती है","positive","hindi"
"कैमरा बहुत बढ़िया है फोटो क्वालिटी शानदार","positive","hindi"
"कैमरा बहुत बढ़िया है फोटो क्वालिटी शानदार","positive","hindi"
"डिस्प्ले अस्पष्ट आहे","negative","marathi"
"बैटरी लंबे समय तक चलती है","positive","hindi"
"कीमत परवडणारी आहे","positive","marathi"
"कॅमेरा खूप छान आहे फोटो क्वालिटी उत्तम","positive","marathi"
"परफॉर्मन्स मंद आहे","negative","marathi"
"बैटरी लंबे समय तक चलती है","positive","hindi"
"बैटरी लंबे समय तक चलती है","positive","hindi"
"बॅटरी लवकर संपते","negative","marathi"
"कीमत सही है और मूल्य अच्छा है","positive","hindi"
"परफॉर्मेंस स्मूद और तेज़ है","positive","hindi"
"बिल्ड क्वालिटी कमी आहे","negative","marathi"
"परफॉर्मेंस स्लो है","negative","hindi"
"कीमत परवडणारी आहे","positive","marathi"
"बिल्ड क्वालिटी कमी आहे","negative","marathi"
"बॅटरी लवकर संपते","negative","marathi"
"कैमरा बहुत बढ़िया है फोटो क्वालिटी शानदार","positive","hindi"
"बैटरी जल्दी खत्म हो जाती है","negative","hindi"
"कीमत परवडणारी आहे","positive","marathi"
"कैमरा बहुत बढ़िया है फोटो क्वालिटी शानदार","positive","hindi"
"डिस्प्ले धुंधला है","negative","hindi"
"बैटरी लंबे समय तक चलती है","positive","hindi"
"परफॉर्मेंस स्मूद और तेज़ है","positive","hindi"
"कीमत जास्त आहे","negative","marathi"
"कीमत सही है और मूल्य अच्छा है","positive","hindi"
"डिस्प्ले ब्राइट और क्लियर है","positive","hindi"
"बिल्ड क्वालिटी कमी आहे","negative","marathi"
"कीमत जास्त आहे","negative","marathi"
"कीमत ज्यादा है","negative","hindi"
"बैटरी लंबे समय तक चलती है","positive","hindi"
"कीमत जास्त आहे","negative","marathi"
"कैमरा बहुत बढ़िया है फोटो क्वालिटी शानदार","positive","hindi"
"डिस्प्ले ब्राइट और क्लियर है","positive","hindi"
"कीमत परवडणारी आहे","positive","marathi"
"डिस्प्ले सुंदर आहे","positive","marathi"
"बिल्ड क्वालिटी कमी आहे","negative","marathi"
"कीमत सही है और मूल्य अच्छा है","positive","hindi"
"कीमत जास्त आहे","negative","marathi"
"कीमत जास्त आहे","negative","marathi"
"कीमत सही है और मूल्य अच्छा है","positive","hindi"
"परफॉर्मेंस स्लो है","negative","hindi"
"डिस्प्ले सुंदर आहे","positive","marathi"
"बिल्ड क्वालिटी कमजोर है","negative","hindi"
"परफॉर्मन्स मंद आहे","negative","marathi"
"कीमत परवडणारी आहे","positive","marathi"
"डिस्प्ले धुंधला है","negative","hindi"
"परफॉर्मन्स उत्कृष्ट आहे","positive","marathi"
"बिल्ड क्वालिटी कमजोर है","negative","hindi"
"बॅटरी चांगली आहे","positive","marathi"
"बैटरी जल्दी खत्म हो जाती है","negative","hindi"
"परफॉर्मन्स मंद आहे","negative","marathi"
"कीमत सही है और मूल्य अच्छा है","positive","hindi"
"बॅटरी लवकर संपते","negative","marathi"
"बिल्ड क्वालिटी कमजोर है","negative","hindi"
"बिल्ड क्वालिटी कमी आहे","negative","marathi"
"डिस्प्ले सुंदर आहे","positive","marathi"
"परफॉर्मेंस स्लो है","negative","hindi"
"कैमरा बहुत बढ़िया है फोटो क्वालिटी शानदार","positive","hindi"
"डिस्प्ले सुंदर आहे","positive","marathi"
"कीमत जास्त आहे","negative","marathi"
"परफॉर्मेंस स्मूद और तेज़ है","positive","hindi"
"परफॉर्मेंस स्मूद और तेज़ है","positive","hindi"
"बॅटरी लवकर संपते","negative","marathi"
"कैमरा बहुत बढ़िया है फोटो क्वालिटी शानदार","positive","hindi"
"परफॉर्मेंस स्मूद और तेज़ है","positive","hindi"
"बैटरी जल्दी खत्म हो जाती है","negative","hindi"
"बैटरी जल्दी खत्म हो जाती है","negative","hindi"
"कीमत ज्यादा है","negative","hindi"
"डिस्प्ले अस्पष्ट आहे","negative","marathi"
"कैमरा बहुत बढ़िया है फोटो क्वालिटी शानदार","positive","hindi"
"डिस्प्ले धुंधला है","negative","hindi"
"बॅटरी चांगली आहे","positive","marathi"
"कीमत ज्यादा है","negative","hindi"
"बिल्ड क्वालिटी कमी आहे","negative","marathi"
"परफॉर्मन्स मंद आहे","negative","marathi"
"बैटरी जल्दी खत्म हो जाती है","negative","hindi"
"परफॉर्मेंस स्मूद और तेज़ है","positive","hindi"
"परफॉर्मन्स उत्कृष्ट आहे","positive","marathi"
"बैटरी लंबे समय तक चलती है","positive","hindi"
"परफॉर्मन्स मंद आहे","negative","marathi"
"कीमत परवडणारी आहे","positive","marathi"
"डिस्प्ले धुंधला है","negative","hindi"
"डिस्प्ले धुंधला है","negative","hindi"
"कीमत सही है और मूल्य अच्छा है","positive","hindi"
"बैटरी जल्दी खत्म हो जाती है","negative","hindi"
"कीमत सही है और मूल्य अच्छा है","positive","hindi"
"डिस्प्ले सुंदर आहे","positive","marathi"
"डिस्प्ले सुंदर आहे","positive","marathi"
"बैटरी लंबे समय तक चलती है","positive","hindi"
"कीमत परवडणारी आहे","positive","marathi"
"कीमत ज्यादा है","negative","hindi"
"परफॉर्मेंस स्लो है","negative","hindi"
"बैटरी जल्दी खत्म हो जाती है","negative","hindi"
"बॅटरी लवकर संपते","negative","marathi"
"कीमत जास्त आहे","negative","marathi"
"कीमत जास्त आहे","negative","marathi"
"बॅटरी चांगली आहे","positive","marathi"
"बैटरी लंबे समय तक चलती है","positive","hindi"
"कॅमेरा खूप छान आहे फोटो क्वालिटी उत्तम","positive","marathi"
"बिल्ड क्वालिटी कमजोर है","negative","hindi"
"बिल्ड क्वालिटी कमजोर है","negative","hindi"
"कॅमेरा खूप छान आहे फोटो क्वालिटी उत्तम","positive","marathi"
"बॅटरी लवकर संपते","negative","marathi"
"डिस्प्ले धुंधला है","negative","hindi"
"परफॉर्मेंस स्लो है","negative","hindi"
"बैटरी लंबे समय तक चलती है","positive","hindi"
"कैमरा बहुत बढ़िया है फोटो क्वालिटी शानदार","positive","hindi"
"बॅटरी चांगली आहे","positive","marathi"
"बॅटरी चांगली आहे","positive","marathi"
"बिल्ड क्वालिटी कमजोर है","negative","hindi"
"परफॉर्मन्स मंद आहे","negative","marathi"
"परफॉर्मन्स उत्कृष्ट आहे","positive","marathi"
"बॅटरी चांगली आहे","positive","marathi"
"बिल्ड क्वालिटी कमी आहे","negative","marathi"
"डिस्प्ले अस्पष्ट आहे","negative","marathi"
"परफॉर्मेंस स्मूद और तेज़ है","positive","hindi"
"परफॉर्मेंस स्लो है","negative","hindi"
"कीमत सही है और मूल्य अच्छा है","positive","hindi"
"डिस्प्ले ब्राइट और क्लियर है","positive","hindi"
"कैमरा बहुत बढ़िया है फोटो क्वालिटी शानदार","positive","hindi"
"बिल्ड क्वालिटी कमी आहे","negative","marathi"
"बिल्ड क्वालिटी कमी आहे","negative","marathi"
"बैटरी जल्दी खत्म हो जाती है","negative","hindi"
"डिस्प्ले सुंदर आहे","positive","marathi"
"बॅटरी चांगली आहे","positive","marathi"
"कॅमेरा खूप छान आहे फोटो क्वालिटी उत्तम","positive","marathi"
"बिल्ड क्वालिटी कमजोर है","negative","hindi"
"बॅटरी चांगली आहे","positive","marathi"
"कीमत जास्त आहे","negative","marathi"
"कीमत जास्त आहे","negative","marathi"
"कीमत जास्त आहे","negative","marathi"
"बैटरी लंबे समय तक चलती है","positive","hindi"
"डिस्प्ले ब्राइट और क्लियर है","positive","hindi"
"डिस्प्ले अस्पष्ट आहे","negative","marathi"
"बॅटरी लवकर संपते","negative","marathi"
"बॅटरी लवकर संपते","negative","marathi"
"बैटरी जल्दी खत्म हो जाती है","negative","hindi"
"परफॉर्मन्स उत्कृष्ट आहे","positive","marathi"
"बैटरी लंबे समय तक चलती है","positive","hindi"
"परफॉर्मन्स उत्कृष्ट आहे","positive","marathi"
"कॅमेरा खूप छान आहे फोटो क्वालिटी उत्तम","positive","marathi"
"कॅमेरा खूप छान आहे फोटो क्वालिटी उत्तम","positive","marathi"
"डिस्प्ले ब्राइट और क्लियर है","positive","hindi"
"कीमत सही है और मूल्य अच्छा है","positive","hindi"
"बैटरी लंबे समय तक चलती है","positive","hindi"
"कैमरा बहुत बढ़िया है फोटो क्वालिटी शानदार","positive","hindi"
"कीमत जास्त आहे","negative","marathi"
"कीमत जास्त आहे","negative","marathi"
"कीमत परवडणारी आहे","positive","marathi"
"बॅटरी लवकर संपते","negative","marathi"
"कॅमेरा खूप छान आहे फोटो क्वालिटी उत्तम","positive","marathi"
"कॅमेरा खूप छान आहे फोटो क्वालिटी उत्तम","positive","marathi"
"बॅटरी चांगली आहे","positive","marathi"
"डिस्प्ले सुंदर आहे","positive","marathi"
"डिस्प्ले अस्पष्ट आहे","negative","marathi"
"डिस्प्ले अस्पष्ट आहे","negative","marathi"
"कीमत ज्यादा है","negative","hindi"
"डिस्प्ले धुंधला है","negative","hindi"
"बैटरी जल्दी खत्म हो जाती है","negative","hindi"
"बैटरी जल्दी खत्म हो जाती है","negative","hindi"
"बिल्ड क्वालिटी कमजोर है","negative","hindi"
"कीमत सही है और मूल्य अच्छा है","positive","hindi"
"कीमत परवडणारी आहे","positive","marathi"
"कीमत सही है और मूल्य अच्छा है","positive","hindi"
"बॅटरी चांगली आहे","positive","marathi"
"डिस्प्ले अस्पष्ट आहे","negative","marathi"
"परफॉर्मन्स मंद आहे","negative","marathi"
"कीमत सही है और मूल्य अच्छा है","positive","hindi"
"बिल्ड क्वालिटी कमजोर है","negative","hindi"
"डिस्प्ले अस्पष्ट आहे","negative","marathi"
"डिस्प्ले अस्पष्ट आहे","negative","marathi"
"कीमत सही है और मूल्य अच्छा है","positive","hindi"
"परफॉर्मेंस स्लो है","negative","hindi"
"बॅटरी लवकर संपते","negative","marathi"
"परफॉर्मन्स मंद आहे","negative","marathi"
"परफॉर्मेंस स्लो है","negative","hindi"
"कीमत ज्यादा है","negative","hindi"
"कैमरा बहुत बढ़िया है फोटो क्वालिटी शानदार","positive","hindi"
"कीमत ज्यादा है","negative","hindi"
"बॅटरी लवकर संपते","negative","marathi"
"कीमत ज्यादा है","negative","hindi"
"बॅटरी चांगली आहे","positive","marathi"
"बैटरी लंबे समय तक चलती है","positive","hindi"
"डिस्प्ले धुंधला है","negative","hindi"
"डिस्प्ले ब्राइट और क्लियर है","positive","hindi"
"परफॉर्मेंस स्लो है","negative","hindi"
"कॅमेरा खूप छान आहे फोटो क्वालिटी उत्तम","positive","marathi"
"कीमत जास्त आहे","negative","marathi"
"बिल्ड क्वालिटी कमजोर है","negative","hindi"
"बिल्ड क्वालिटी कमी आहे","negative","marathi"
"बॅटरी लवकर संपते","negative","marathi"
"कीमत परवडणारी आहे","positive","marathi"
"डिस्प्ले ब्राइट और क्लियर है","positive","hindi"
"परफॉर्मन्स मंद आहे","negative","marathi"
"बिल्ड क्वालिटी कमजोर है","negative","hindi"
"डिस्प्ले ब्राइट और क्लियर है","positive","hindi"
"डिस्प्ले अस्पष्ट आहे","negative","marathi"
"बैटरी लंबे समय तक चलती है","positive","hindi"
"बिल्ड क्वालिटी कमजोर है","negative","hindi"
"कीमत जास्त आहे","negative","marathi"
"डिस्प्ले ब्राइट और क्लियर है","positive","hindi"
"बिल्ड क्वालिटी कमजोर है","negative","hindi"
"डिस्प्ले अस्पष्ट आहे","negative","marathi"
"डिस्प्ले धुंधला है","negative","hindi"
"बॅटरी लवकर संपते","negative","marathi"
"परफॉर्मेंस स्मूद और तेज़ है","positive","hindi"
"डिस्प्ले ब्राइट और क्लियर है","positive","hindi"
"परफॉर्मेंस स्लो है","negative","hindi"
"परफॉर्मन्स मंद आहे","negative","marathi"
"डिस्प्ले ब्राइट और क्लियर है","positive","hindi"
"कीमत जास्त आहे","negative","marathi"
"बॅटरी लवकर संपते","negative","marathi"
"कीमत परवडणारी आहे","positive","marathi"
"बिल्ड क्वालिटी कमी आहे","negative","marathi"
"बिल्ड क्वालिटी कमजोर है","negative","hindi"
"परफॉर्मेंस स्मूद और तेज़ है","positive","hindi"
"बैटरी जल्दी खत्म हो जाती है","negative","hindi"
"डिस्प्ले अस्पष्ट आहे","negative","marathi"
"डिस्प्ले ब्राइट और क्लियर है","positive","hindi"
"कीमत सही है और मूल्य अच्छा है","positive","hindi"
"कीमत जास्त आहे","negative","marathi"
"डिस्प्ले ब्राइट और क्लियर है","positive","hindi"
"परफॉर्मन्स मंद आहे","negative","marathi"
"कीमत ज्यादा है","negative","hindi"
"डिस्प्ले धुंधला है","negative","hindi"
"परफॉर्मन्स उत्कृष्ट आहे","positive","marathi"
"डिस्प्ले सुंदर आहे","positive","marathi"
"बैटरी जल्दी खत्म हो जाती है","negative","hindi"
"बिल्ड क्वालिटी कमजोर है","negative","hindi"
"डिस्प्ले ब्राइट और क्लियर है","positive","hindi"
"बॅटरी चांगली आहे","positive","marathi"
"बैटरी जल्दी खत्म हो जाती है","negative","hindi"
"कीमत जास्त आहे","negative","marathi"
"परफॉर्मेंस स्लो है","negative","hindi"
"डिस्प्ले धुंधला है","negative","hindi"
"कीमत ज्यादा है","negative","hindi"
"परफॉर्मन्स उत्कृष्ट आहे","positive","marathi"
"डिस्प्ले ब्राइट और क्लियर है","positive","hindi"
"कॅमेरा खूप छान आहे फोटो क्वालिटी उत्तम","positive","marathi"
"परफॉर्मेंस स्मूद और तेज़ है","positive","hindi"
"बिल्ड क्वालिटी कमी आहे","negative","marathi"
"परफॉर्मेंस स्मूद और तेज़ है","positive","hindi"
"बैटरी जल्दी खत्म हो जाती है","negative","hindi"
"डिस्प्ले अस्पष्ट आहे","negative","marathi"
"बैटरी जल्दी खत्म हो जाती है","negative","hindi"
"डिस्प्ले अस्पष्ट आहे","negative","marathi"
"डिस्प्ले धुंधला है","negative","hindi"
"बॅटरी चांगली आहे","positive","marathi"
"परफॉर्मेंस स्लो है","negative","hindi"
"डिस्प्ले धुंधला है","negative","hindi"
"बैटरी जल्दी खत्म हो जाती है","negative","hindi"
"बैटरी लंबे समय तक चलती है","positive","hindi"
"बिल्ड क्वालिटी कमजोर है","negative","hindi"
"परफॉर्मन्स उत्कृष्ट आहे","positive","marathi"
"कीमत सही है और मूल्य अच्छा है","positive","hindi"
"कीमत ज्यादा है","negative","hindi"
"बिल्ड क्वालिटी कमी आहे","negative","marathi"
"डिस्प्ले ब्राइट और क्लियर है","positive","hindi"
"कीमत सही है और मूल्य अच्छा है","positive","hindi"
"परफॉर्मन्स उत्कृष्ट आहे","positive","marathi"
"कैमरा बहुत बढ़िया है फोटो क्वालिटी शानदार","positive","hindi"
"डिस्प्ले सुंदर आहे","positive","marathi"
"बैटरी लंबे समय तक चलती है","positive","hindi"
"कीमत परवडणारी आहे","positive","marathi"
"डिस्प्ले सुंदर आहे","positive","marathi"
"कीमत ज्यादा है","negative","hindi"
"बिल्ड क्वालिटी कमजोर है","negative","hindi"
"कीमत सही है और मूल्य अच्छा है","positive","hindi"
"कीमत परवडणारी आहे","positive","marathi"
"बिल्ड क्वालिटी कमजोर है","negative","hindi"
"परफॉर्मेंस स्मूद और तेज़ है","positive","hindi"
"कीमत परवडणारी आहे","positive","marathi"
"परफॉर्मन्स उत्कृष्ट आहे","positive","marathi"
"डिस्प्ले सुंदर आहे","positive","marathi"
"बिल्ड क्वालिटी कमी आहे","negative","marathi"
"बैटरी जल्दी खत्म हो जाती है","negative","hindi"
"कीमत जास्त आहे","negative","marathi"
"बिल्ड क्वालिटी कमजोर है","negative","hindi"
"बॅटरी लवकर संपते","negative","marathi"
"बॅटरी लवकर संपते","negative","marathi"
"कॅमेरा खूप छान आहे फोटो क्वालिटी उत्तम","positive","marathi"
"कॅमेरा खूप छान आहे फोटो क्वालिटी उत्तम","positive","marathi"
"डिस्प्ले धुंधला है","negative","hindi"
"परफॉर्मेंस स्मूद और तेज़ है","positive","hindi"
"बॅटरी चांगली आहे","positive","marathi"
"कैमरा बहुत बढ़िया है फोटो क्वालिटी शानदार","positive","hindi"
"बैटरी जल्दी खत्म हो जाती है","negative","hindi"
"बॅटरी लवकर संपते","negative","marathi"
"कीमत परवडणारी आहे","positive","marathi"
"डिस्प्ले सुंदर आहे","positive","marathi"
"डिस्प्ले सुंदर आहे","positive","marathi"
"डिस्प्ले सुंदर आहे","positive","marathi"
"डिस्प्ले धुंधला है","negative","hindi"
"डिस्प्ले सुंदर आहे","positive","marathi"
"डिस्प्ले अस्पष्ट आहे","negative","marathi"
"डिस्प्ले अस्पष्ट आहे","negative","marathi"
"कॅमेरा खूप छान आहे फोटो क्वालिटी उत्तम","positive","marathi"
"परफॉर्मन्स मंद आहे","negative","marathi"
"बॅटरी लवकर संपते","negative","marathi"
"डिस्प्ले अस्पष्ट आहे","negative","marathi"
"कैमरा बहुत बढ़िया है फोटो क्वालिटी शानदार","positive","hindi"
"परफॉर्मेंस स्लो है","negative","hindi"
"परफॉर्मन्स उत्कृष्ट आहे","positive","marathi"
"बैटरी जल्दी खत्म हो जाती है","negative","hindi"
"कॅमेरा खूप छान आहे फोटो क्वालिटी उत्तम","positive","marathi"
"कॅमेरा खूप छान आहे फोटो क्वालिटी उत्तम","positive","marathi"
"कीमत परवडणारी आहे","positive","marathi"
"बिल्ड क्वालिटी कमजोर है","negative","hindi"
"बॅटरी चांगली आहे","positive","marathi"
"परफॉर्मन्स मंद आहे","negative","marathi"
"कैमरा बहुत बढ़िया है फोटो क्वालिटी शानदार","positive","hindi"
"कीमत जास्त आहे","negative","marathi"
"कीमत सही है और मूल्य अच्छा है","positive","hindi"
"परफॉर्मन्स मंद आहे","negative","marathi"
"डिस्प्ले धुंधला है","negative","hindi"
"बिल्ड क्वालिटी कमी आहे","negative","marathi"
"डिस्प्ले धुंधला है","negative","hindi"
"परफॉर्मेंस स्लो है","negative","hindi"
"डिस्प्ले अस्पष्ट आहे","negative","marathi"
"बॅटरी लवकर संपते","negative","marathi"
